OBJECTID,COD_PREDIO,HOJA,OBSERVACIO,NUM_PREDIO,ORIGEN,DATUM,CALCULO,ID_DIST,COD_PROY,COD_PRED_1,FECHA_TRAN,USER_TRANS,ID_PLANO,AREA_HA,PERIMETRO,CENTROID_E,CENTROID_N,ANOMALIA,CODIGO_PRE,COD_UT,ID_OFICINA,ACTIVO,OVERLAP,TIPO_PROCE,PROCEDENCI,Shape_Length,Shape_Area
1,9_4808645_034264,9_4808645, ,"034264",GPS,WGS84,CARTESIANO,"170103",MDD2, ,2016/02/01 00:00:00+00,EQUILLAY,PLN-00000122565,0.3541,436.76,484143,8646225,1,0, ,0, ,0,0,W,436.7629290512,3540.59478061844
2,9_4708635_034924,9_4708635, ,"034924",GPS,WGS84,CARTESIANO,"170103",MDD2, ,2016/02/01 00:00:00+00,EQUILLAY,PLN-00000122565,5.0131,1195.63,474465,8639394,1,0, ,0, ,0,0,W,1195.62716959092,50131.4403455
3,9_4808600_131610,9_4808600, ,"131610",GPS,WGS84,CARTESIANO,"170101",MDD2, ,2016/02/01 00:00:00+00,EQUILLAY,PLN-00000122565,1.4535,500.21,481831,8601177,1,0, ,0, ,0,0,W,500.210708616019,14534.9678921871
4,9_4808605_132464,9_4808605, ,"132464",GPS,WGS84,CARTESIANO,"170103",MDD2, ,2016/02/01 00:00:00+00,EQUILLAY,PLN-00000122565,10.0553,2117.45,482973,8608294,1,0, ,0, ,0,0,W,2117.43426640693,100553.18443007
5,9_4758605_36465,9_4758605, ,"36465",GPS,WGS84,CARTESIANO,"170101",MDD2, ,2016/02/01 00:00:00+00,EQUILLAY,PLN-00000122565,0.0665,120.02,476908,8606940,1,0, ,0, ,0,0,W,120.019992085388,664.725320268182
6,9_4558590_132723,9_4558590, ,"132723",GPS,WGS84,CARTESIANO,"170101",MDD2, ,2016/02/01 00:00:00+00,EQUILLAY,PLN-00000122565,43.3701,4797.31,458250,8592278,1,0, ,0, ,0,0,W,4797.31102702902,433701.073729624
7,9_4558595_132746,9_4558595, ,"132746",GPS,WGS84,CARTESIANO,"170101",MDD2, ,2016/02/01 00:00:00+00,EQUILLAY,PLN-00000122565,34.3561,3132.13,458228,8596737,1,0, ,0, ,0,0,W,3132.13277116007,343561.0783352
8,9_4758610_132678,9_4758610, ,"132678",GPS,WGS84,CARTESIANO,"170101",MDD2, ,2016/02/01 00:00:00+00,EQUILLAY,PLN-00000122565,13.9251,1639.96,476467,8610054,1,0, ,0, ,0,0,W,1639.95502409686,139250.685669629
9,9_4808635_034798,9_4808635, ,"034798",GPS,WGS84,CARTESIANO,"170103",MDD2, ,2016/02/01 00:00:00+00,EQUILLAY,PLN-00000122565,8.5709,1296.91,481173,8635882,1,0, ,0, ,0,0,W,1296.91112691578,85708.604411938
10,9_4558575_132011,9_4558575, ,"132011",GPS,WGS84,CARTESIANO,"170101",MDD2, ,2016/02/01 00:00:00+00,EQUILLAY,PLN-00000122565,16.5763,2428.03,459798,8578254,1,0, ,0, ,0,0,W,2428.02752812217,165762.599028857
